service_id,date,exception_type
m-f sum,20140704,2
m-f fal,20140901,2
m-f fal,20141017,2
m-f sum,20141017,1
m-f fal,20141126,2
m-f sum,20141126,1
m-f fal,20141128,2
m-f sum,20141128,1
m-f fal,20141127,2
m-f sum,20141215,1
m-f sum,20141216,1
m-f sum,20141217,1
m-f sum,20141218,1
m-f sum,20141219,1
m-f sum,20141222,1
m-f sum,20141223,1
m-f sum,20141226,1
m-f sum,20141229,1
m-f sum,20141230,1
m-f sum,20150102,1
m-f sum,20150105,1
m-f sum,20150106,1
Christmas,20141231,1
m-f sum,20150119,1
m-f spr,20150119,2
m-f sum,20150216,1
m-f spr,20150216,2
m-f spr,20150309,2
m-f spr,20150310,2
m-f spr,20150311,2
m-f spr,20150312,2
m-f spr,20150313,2
m-f sum,20150309,1
m-f sum,20150310,1
m-f sum,20150311,1
m-f sum,20150312,1
m-f sum,20150313,1
