trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
sat1satext_1011,10:11:00,10:11:00,1012,1,USU Education Building,,,
sat1satext_1011, , ,1013,2,USU Education Building,,,
sat1satext_1011, , ,1014,3,USU Education Building,,,
sat1satext_1011, , ,1015,4,USU Education Building,,,
sat1satext_1011, , ,1016,5,USU Education Building,,,
sat1satext_1011, , ,1017,6,USU Education Building,,,
sat1satext_1011, , ,1018,7,USU Education Building,,,
sat1satext_1011, , ,1019,8,USU Education Building,,,
sat1satext_1011, , ,1020,9,USU Education Building,,,
sat1satext_1011,10:19:00,10:19:00,1021,10,Credit Union,,,
sat1satext_1011, , ,1022,11,Intermodal Transit Center,,,
sat1satext_1011, , ,1023,12,Intermodal Transit Center,,,
sat1satext_1011, , ,1024,13,Intermodal Transit Center,,,
sat1satext_1011, , ,1025,14,Intermodal Transit Center,,,
sat1satext_1011, , ,1026,15,Intermodal Transit Center,,,
sat1satext_1011, , ,1027,16,Intermodal Transit Center,,,
sat1satext_1011, , ,1028,17,Intermodal Transit Center,,,
sat1satext_1011,10:25:00,10:25:00,111,18,Intermodal Transit Center,,,
sat1satext_1030,10:30:00,10:30:00,111,1,USU Vet Science Bldg,,,
sat1satext_1030, , ,1000,2,USU Vet Science Bldg,,,
sat1satext_1030, , ,1001,3,USU Vet Science Bldg,,,
sat1satext_1030, , ,1002,4,USU Vet Science Bldg,,,
sat1satext_1030, , ,1003,5,USU Vet Science Bldg,,,
sat1satext_1030, , ,1004,6,USU Vet Science Bldg,,,
sat1satext_1030, , ,1005,7,USU Vet Science Bldg,,,
sat1satext_1030, , ,1006,8,USU Vet Science Bldg,,,
sat1satext_1030,10:34:00,10:34:00,1007,9,Aggie Village,,,
sat1satext_1030, , ,1008,10,Aggie Village,,,
sat1satext_1030, , ,1009,11,Aggie Village,,,
sat1satext_1030, , ,1010,12,1450 East 1500 North,,,
sat1satext_1030, , ,1011,13,1450 East 1500 North,,,
sat1satext_1030,10:41:00,10:41:00,1012,14,USU Education Building,,,
sat1satext_1030, , ,1013,15,USU Education Building,,,
sat1satext_1030, , ,1014,16,USU Education Building,,,
sat1satext_1030, , ,1015,17,USU Education Building,,,
sat1satext_1030, , ,1016,18,USU Education Building,,,
sat1satext_1030, , ,1017,19,USU Education Building,,,
sat1satext_1030, , ,1018,20,USU Education Building,,,
sat1satext_1030, , ,1019,21,USU Education Building,,,
sat1satext_1030, , ,1020,22,USU Education Building,,,
sat1satext_1030,10:49:00,10:49:00,1021,23,Credit Union,,,
sat1satext_1030, , ,1022,24,Intermodal Transit Center,,,
sat1satext_1030, , ,1023,25,Intermodal Transit Center,,,
sat1satext_1030, , ,1024,26,Intermodal Transit Center,,,
sat1satext_1030, , ,1025,27,Intermodal Transit Center,,,
sat1satext_1030, , ,1026,28,Intermodal Transit Center,,,
sat1satext_1030, , ,1027,29,Intermodal Transit Center,,,
sat1satext_1030, , ,1028,30,Intermodal Transit Center,,,
sat1satext_1030,10:55:00,10:55:00,111,31,Intermodal Transit Center,,,
sat1satext_1100,11:00:00,11:00:00,111,1,USU Vet Science Bldg,,,
sat1satext_1100, , ,1000,2,USU Vet Science Bldg,,,
sat1satext_1100, , ,1001,3,USU Vet Science Bldg,,,
sat1satext_1100, , ,1002,4,USU Vet Science Bldg,,,
sat1satext_1100, , ,1003,5,USU Vet Science Bldg,,,
sat1satext_1100, , ,1004,6,USU Vet Science Bldg,,,
sat1satext_1100, , ,1005,7,USU Vet Science Bldg,,,
sat1satext_1100, , ,1006,8,USU Vet Science Bldg,,,
sat1satext_1100,11:04:00,11:04:00,1007,9,Aggie Village,,,
sat1satext_1100, , ,1008,10,Aggie Village,,,
sat1satext_1100, , ,1009,11,Aggie Village,,,
sat1satext_1100, , ,1010,12,1450 East 1500 North,,,
sat1satext_1100, , ,1011,13,1450 East 1500 North,,,
sat1satext_1100,11:11:00,11:11:00,1012,14,USU Education Building,,,
sat1satext_1100, , ,1013,15,USU Education Building,,,
sat1satext_1100, , ,1014,16,USU Education Building,,,
sat1satext_1100, , ,1015,17,USU Education Building,,,
sat1satext_1100, , ,1016,18,USU Education Building,,,
sat1satext_1100, , ,1017,19,USU Education Building,,,
sat1satext_1100, , ,1018,20,USU Education Building,,,
sat1satext_1100, , ,1019,21,USU Education Building,,,
sat1satext_1100, , ,1020,22,USU Education Building,,,
sat1satext_1100,11:19:00,11:19:00,1021,23,Credit Union,,,
sat1satext_1100, , ,1022,24,Intermodal Transit Center,,,
sat1satext_1100, , ,1023,25,Intermodal Transit Center,,,
sat1satext_1100, , ,1024,26,Intermodal Transit Center,,,
sat1satext_1100, , ,1025,27,Intermodal Transit Center,,,
sat1satext_1100, , ,1026,28,Intermodal Transit Center,,,
sat1satext_1100, , ,1027,29,Intermodal Transit Center,,,
sat1satext_1100, , ,1028,30,Intermodal Transit Center,,,
sat1satext_1100,11:25:00,11:25:00,111,31,Intermodal Transit Center,,,
sat1satext_1130,11:30:00,11:30:00,111,1,USU Vet Science Bldg,,,
sat1satext_1130, , ,1000,2,USU Vet Science Bldg,,,
sat1satext_1130, , ,1001,3,USU Vet Science Bldg,,,
sat1satext_1130, , ,1002,4,USU Vet Science Bldg,,,
sat1satext_1130, , ,1003,5,USU Vet Science Bldg,,,
