route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,sat,sat1satext_1011,,,,,1,1,1
1,sat,sat1satext_1030,,,,,1,1,1
1,sat,sat1satext_1100,,,,,1,1,1
1,sat,sat1satext_1130,,,,,1,1,1
1,sat,sat1satext_1200,,,,,1,1,1
1,sat,sat1satext_1230,,,,,1,1,1
1,sat,sat1satext_1300,,,,,1,1,1
1,sat,sat1satext_1330,,,,,1,1,1
1,sat,sat1satext_1400,,,,,1,1,1
1,sat,sat1satext_1430,,,,,1,1,1
1,sat,sat1satext_1500,,,,,1,1,1
1,sat,sat1satext_1530,,,,,1,1,1
1,sat,sat1satext_1600,,,,,1,1,1
1,sat,sat1satext_1630,,,,,1,1,1
1,sat,sat1satext_1700,,,,,1,1,1
1,sat,sat1satext_1730,,,,,1,1,1
1,sat,sat1satext_1800,,,,,1,1,1
1,sat,sat1satext_1830,,,,,1,1,1
3,sat,sat2sat_1013,,,,,3,1,1
3,sat,sat2sat_1030,,,,,3,1,1
3,sat,sat2sat_1100,,,,,3,1,1
3,sat,sat2sat_1130,,,,,3,1,1
3,sat,sat2sat_1200,,,,,3,1,1
3,sat,sat2sat_1230,,,,,3,1,1
3,sat,sat2sat_1300,,,,,3,1,1
3,sat,sat2sat_1330,,,,,3,1,1
3,sat,sat2sat_1400,,,,,3,1,1
3,sat,sat2sat_1430,,,,,3,1,1
3,sat,sat2sat_1500,,,,,3,1,1
3,sat,sat2sat_1530,,,,,3,1,1
3,sat,sat2sat_1600,,,,,3,1,1
3,sat,sat2sat_1630,,,,,3,1,1
3,sat,sat2sat_1700,,,,,3,1,1
3,sat,sat2sat_1730,,,,,3,1,1
3,sat,sat2sat_1800,,,,,3,1,1
3,sat,sat2sat_1830,,,,,3,1,1
4,sat,sat3sat_1005,,,,,4,1,1
5,sat,sat10sat_1030,,,,,5,1,1
4,sat,sat3sat_1100,,,,,4,1,1
5,sat,sat10sat_1130,,,,,5,1,1
4,sat,sat3sat_1200,,,,,4,1,1
5,sat,sat10sat_1230,,,,,5,1,1
4,sat,sat3sat_1300,,,,,4,1,1
5,sat,sat10sat_1330,,,,,5,1,1
4,sat,sat3sat_1400,,,,,4,1,1
5,sat,sat10sat_1430,,,,,5,1,1
4,sat,sat3sat_1500,,,,,4,1,1
5,sat,sat10sat_1530,,,,,5,1,1
4,sat,sat3sat_1600,,,,,4,1,1
5,sat,sat10sat_1630,,,,,5,1,1
4,sat,sat3sat_1700,,,,,4,1,1
5,sat,sat10sat_1730,,,,,5,1,1
4,sat,sat3sat_1800,,,,,4,1,1
5,sat,sat10sat_1830,,,,,5,1,1
7,sat,sat5sat_1006,,,,,7,1,1
7,sat,sat5sat_1030,,,,,7,1,1
7,sat,sat5sat_1100,,,,,7,1,1
7,sat,sat5sat_1130,,,,,7,1,1
7,sat,sat5sat_1200,,,,,7,1,1
7,sat,sat5sat_1230,,,,,7,1,1
7,sat,sat5sat_1300,,,,,7,1,1
7,sat,sat5sat_1330,,,,,7,1,1
7,sat,sat5sat_1400,,,,,7,1,1
7,sat,sat5sat_1430,,,,,7,1,1
7,sat,sat5sat_1500,,,,,7,1,1
7,sat,sat5sat_1530,,,,,7,1,1
7,sat,sat5sat_1600,,,,,7,1,1
7,sat,sat5sat_1630,,,,,7,1,1
7,sat,sat5sat_1700,,,,,7,1,1
7,sat,sat5sat_1730,,,,,7,1,1
7,sat,sat5sat_1800,,,,,7,1,1
7,sat,sat5sat_1830,,,,,7,1,1
8,sat,sat6sat_1012,,,,,8,1,1
8,sat,sat6sat_1030,,,,,8,1,1
8,sat,sat6sat_1100,,,,,8,1,1
8,sat,sat6sat_1130,,,,,8,1,1
8,sat,sat6sat_1200,,,,,8,1,1
8,sat,sat6sat_1230,,,,,8,1,1
8,sat,sat6sat_1300,,,,,8,1,1
8,sat,sat6sat_1330,,,,,8,1,1
8,sat,sat6sat_1400,,,,,8,1,1
8,sat,sat6sat_1430,,,,,8,1,1
8,sat,sat6sat_1500,,,,,8,1,1
8,sat,sat6sat_1530,,,,,8,1,1
8,sat,sat6sat_1600,,,,,8,1,1
8,sat,sat6sat_1630,,,,,8,1,1
8,sat,sat6sat_1700,,,,,8,1,1
8,sat,sat6sat_1730,,,,,8,1,1
8,sat,sat6sat_1800,,,,,8,1,1
8,sat,sat6sat_1830,,,,,8,1,1
9,sat,sat7sat_1009,,,,,9,1,1
9,sat,sat7sat_1030,,,,,9,1,1
9,sat,sat7sat_1100,,,,,9,1,1
9,sat,sat7sat_1130,,,,,9,1,1
9,sat,sat7sat_1200,,,,,9,1,1
9,sat,sat7sat_1230,,,,,9,1,1
9,sat,sat7sat_1300,,,,,9,1,1
9,sat,sat7sat_1330,,,,,9,1,1
9,sat,sat7sat_1400,,,,,9,1,1
9,sat,sat7sat_1430,,,,,9,1,1
9,sat,sat7sat_1500,,,,,9,1,1
9,sat,sat7sat_1530,,,,,9,1,1
9,sat,sat7sat_1600,,,,,9,1,1
9,sat,sat7sat_1630,,,,,9,1,1
9,sat,sat7sat_1700,,,,,9,1,1
9,sat,sat7sat_1730,,,,,9,1,1
9,sat,sat7sat_1800,,,,,9,1,1
9,sat,sat7sat_1830,,,,,9,1,1
11,sat,sat9sat_1010,,,,,11,1,1
11,sat,sat9sat_1030,,,,,11,1,1
11,sat,sat9sat_1100,,,,,11,1,1
11,sat,sat9sat_1130,,,,,11,1,1
11,sat,sat9sat_1200,,,,,11,1,1
11,sat,sat9sat_1230,,,,,11,1,1
11,sat,sat9sat_1300,,,,,11,1,1
11,sat,sat9sat_1330,,,,,11,1,1
11,sat,sat9sat_1400,,,,,11,1,1
11,sat,sat9sat_1430,,,,,11,1,1
11,sat,sat9sat_1500,,,,,11,1,1
11,sat,sat9sat_1530,,,,,11,1,1
11,sat,sat9sat_1600,,,,,11,1,1
11,sat,sat9sat_1630,,,,,11,1,1
11,sat,sat9sat_1700,,,,,11,1,1
11,sat,sat9sat_1730,,,,,11,1,1
11,sat,sat9sat_1800,,,,,11,1,1
11,sat,sat9sat_1830,,,,,11,1,1
12,sat,sat11sat_1030,,,,,12,1,1
12,sat,sat11sat_1130,,,,,12,1,1
12,sat,sat11sat_1230,,,,,12,1,1
12,sat,sat11sat_1330,,,,,12,1,1
12,sat,sat11sat_1430,,,,,12,1,1
12,sat,sat11sat_1530,,,,,12,1,1
12,sat,sat11sat_1630,,,,,12,1,1
12,sat,sat11sat_1730,,,,,12,1,1
14,sat,satCVNsat_1015,,,,,14,1,1
14,sat,satCVNsat_1145,,,,,14,1,1
14,sat,satCVNsat_1315,,,,,14,1,1
14,sat,satCVNsat_1445,,,,,14,1,1
14,sat,satCVNsat_1615,,,,,14,1,1
14,sat,satCVNsat_1745,,,,,14,1,1
16,sat,satCVSOPsat_1015,,,,,16,1,1
16,sat,satCVSOPsat_1130,,,,,16,1,1
16,sat,satCVSOPsat_1245,,,,,16,1,1
16,sat,satCVSOPsat_1400,,,,,16,1,1
16,sat,satCVSOPsat_1515,,,,,16,1,1
16,sat,satCVSOPsat_1630,,,,,16,1,1
16,sat,satCVSOPsat_1745,,,,,16,1,1
18,m-f spr,m-f sprCVSEm-f_0450,,,,,18,1,1
18,m-f spr,m-f sprCVSEm-f_0600,,,,,18,1,1
15,m-f spr,m-f sprIdaho1a_0455,,,,,15,1,1
12,m-f spr,m-f spr11m-f_0530,,,,,12,1,1
12,m-f spr,m-f spr11m-f_0630,,,,,12,1,1
12,m-f spr,m-f spr11m-f_0730,,,,,12,1,1
12,m-f spr,m-f spr11m-f_0830,,,,,12,1,1
12,m-f spr,m-f spr11m-f_0930,,,,,12,1,1
12,m-f spr,m-f spr11m-f_1030,,,,,12,1,1
12,m-f spr,m-f spr11m-f_1130,,,,,12,1,1
12,m-f spr,m-f spr11m-f_1230,,,,,12,1,1
12,m-f spr,m-f spr11m-f_1330,,,,,12,1,1
12,m-f spr,m-f spr11m-f_1430,,,,,12,1,1
